date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:39	118/118	---M-Z	200	added ('OK')	text/plain	date:Fri,%2009%20May%202025%2020:13:38%20GMT	https://quickbusinessfund.com/robots.txt		(from )
13:13:40	101725/101725	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:13:38%20GMT	https://quickbusinessfund.com/	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/index.html	(from )
13:13:42	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2009%20May%202025%2020:13:42%20GMT	https://quickbusinessfund.com/xmlrpc.php	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/xmlrpc.php	(from https://quickbusinessfund.com/)
13:13:44	8581/8581	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/js/libs/ie11CustomProperties.min.js	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/js/libs/ie11CustomProperties.min.js	(from https://quickbusinessfund.com/)
13:13:44	464817/464817	---M-Z	200	added ('OK')	text/css	date:Tue,%2031%20Oct%202023%2004:27:19%20GMT	https://quickbusinessfund.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=7.1	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/plugins/js_composer/assets/css/js_composer.min4d6f.css	(from https://quickbusinessfund.com/)
13:13:45	34399/34399	---M-Z	200	added ('OK')	text/css	date:Tue,%2031%20Oct%202023%2004:27:19%20GMT	https://quickbusinessfund.com/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/v4-shims.min.css?ver=7.1	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/v4-shims.min4d6f.css	(from https://quickbusinessfund.com/)
13:13:45	734/734	---M-Z	200	added ('OK')	application/rss+xml	etag:%228e8f6b3c11ccb4a3f3b3b0df72b4793a%22	https://quickbusinessfund.com/comments/feed/	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/comments/feed/index.html	(from https://quickbusinessfund.com/)
13:13:46	1064/1064	---M-Z	200	added ('OK')	application/rss+xml	etag:%228e8f6b3c11ccb4a3f3b3b0df72b4793a%22	https://quickbusinessfund.com/feed/	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/feed/index.html	(from https://quickbusinessfund.com/)
13:13:46	55921/55921	---M-Z	200	added ('OK')	text/css	date:Tue,%2031%20Oct%202023%2004:27:19%20GMT	https://quickbusinessfund.com/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/all.min.css?ver=7.1	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/all.min4d6f.css	(from https://quickbusinessfund.com/)
13:13:46	4521/4521	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/css/bootstrap-light.min.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/css/bootstrap-light.minf719.css	(from https://quickbusinessfund.com/)
13:13:46	49632/49632	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/css/parts/base.min.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/css/parts/base.minf719.css	(from https://quickbusinessfund.com/)
13:13:46	986/986	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/css/parts/int-wpcf7.min.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/css/parts/int-wpcf7.minf719.css	(from https://quickbusinessfund.com/)
13:13:47	1174/1174	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/css/parts/int-mc4wp.min.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/css/parts/int-mc4wp.minf719.css	(from https://quickbusinessfund.com/)
13:13:47	649/649	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/css/parts/int-rev-slider.min.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/css/parts/int-rev-slider.minf719.css	(from https://quickbusinessfund.com/)
13:13:48	15115/15115	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/css/parts/int-wpb-base.min.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/css/parts/int-wpb-base.minf719.css	(from https://quickbusinessfund.com/)
13:13:48	834/834	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/css/parts/int-wpb-base-deprecated.min.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/css/parts/int-wpb-base-deprecated.minf719.css	(from https://quickbusinessfund.com/)
13:13:48	196/196	---M--	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:12:19%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart-child/style.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart-child/stylef719.css	(from https://quickbusinessfund.com/)
13:13:49	9939/9939	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/css/parts/header-base.min.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/css/parts/header-base.minf719.css	(from https://quickbusinessfund.com/)
13:13:49	4829/4829	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/css/parts/mod-tools.min.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/css/parts/mod-tools.minf719.css	(from https://quickbusinessfund.com/)
13:13:49	2689/2689	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/css/parts/header-el-base.min.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/css/parts/header-el-base.minf719.css	(from https://quickbusinessfund.com/)
13:13:50	5348/5348	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/css/parts/el-info-box.min.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/css/parts/el-info-box.minf719.css	(from https://quickbusinessfund.com/)
13:13:51	5403/5403	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/css/parts/el-social-icons.min.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/css/parts/el-social-icons.minf719.css	(from https://quickbusinessfund.com/)
13:13:51	5545/5545	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/css/parts/el-section-title.min.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/css/parts/el-section-title.minf719.css	(from https://quickbusinessfund.com/)
13:13:51	296/296	---M--	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/css/parts/mod-highlighted-text.min.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/css/parts/mod-highlighted-text.minf719.css	(from https://quickbusinessfund.com/)
13:13:52	872/872	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/css/parts/opt-widget-collapse.min.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/css/parts/opt-widget-collapse.minf719.css	(from https://quickbusinessfund.com/)
13:13:52	1138/1138	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/css/parts/footer-base.min.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/css/parts/footer-base.minf719.css	(from https://quickbusinessfund.com/)
13:13:52	1002/1002	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/css/parts/el-list.min.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/css/parts/el-list.minf719.css	(from https://quickbusinessfund.com/)
13:13:52	740/740	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/css/parts/opt-scrolltotop.min.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/css/parts/opt-scrolltotop.minf719.css	(from https://quickbusinessfund.com/)
13:13:53	1064/1064	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Mar%202024%2004:33:34%20GMT	https://quickbusinessfund.com/wp-content/uploads/2024/03/xts-default_header-1710304414.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/uploads/2024/03/xts-default_header-1710304414f719.css	(from https://quickbusinessfund.com/)
13:13:53	9335/9335	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Feb%202024%2005:36:44%20GMT	https://quickbusinessfund.com/wp-content/uploads/2024/02/xts-theme_settings_default-1707889004.css?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/uploads/2024/02/xts-theme_settings_default-1707889004f719.css	(from https://quickbusinessfund.com/)
13:13:53	87553/87553	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2007%20Nov%202023%2020:11:16%20GMT	https://quickbusinessfund.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://quickbusinessfund.com/)
13:13:54	13577/13577	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2009%20Jun%202023%2015:19:24%20GMT	https://quickbusinessfund.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://quickbusinessfund.com/)
13:13:54	3151/3151	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2003%20May%202023%2007:10:25%20GMT	https://quickbusinessfund.com/wp-content/themes/woodmart/js/libs/device.min.js?ver=7.1.4	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-content/themes/woodmart/js/libs/device.minf719.js	(from https://quickbusinessfund.com/)
13:13:55	214986/214986	---MC-	200	added ('OK')	application/json	date:Fri,%2009%20May%202025%2020:13:54%20GMT	https://quickbusinessfund.com/wp-json/	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-json/index.html	(from https://quickbusinessfund.com/)
13:13:55	84107/84107	---M--	200	added ('OK')	application/json	date:Fri,%2009%20May%202025%2020:13:54%20GMT	https://quickbusinessfund.com/wp-json/wp/v2/pages/62	D:/My%20Web%20Sites/ECGPR/quickbusinessfund.com/wp-json/wp/v2/pages/62.json	(from https://quickbusinessfund.com/)
